"FullPath","Name","Extension","SizeKB","Created","Modified","Accessed","Directory","SuspiciousExt","Hidden"
"C:\Users\Nebula\AppData\Roaming\Toolkit\Setting.json","Setting.json",".json","2.83","7/27/2025 14:42:29","4/12/2026 19:12:47","4/12/2026 19:12:47","C:\Users\Nebula\AppData\Roaming\Toolkit","False","0"
"C:\Users\Nebula\AppData\Roaming\Toolkit\UserDataHelper.xml","UserDataHelper.xml",".xml","0.87","7/27/2025 14:42:45","4/12/2026 19:12:47","4/12/2026 19:12:47","C:\Users\Nebula\AppData\Roaming\Toolkit","False","0"
"C:\ProgramData\NordVPN\Analytics\NordVPN.db-journal","NordVPN.db-journal",".db-journal","0","8/5/2025 04:35:05","4/12/2026 19:12:46","4/12/2026 19:12:46","C:\ProgramData\NordVPN\Analytics","False","0"
"C:\ProgramData\NordVPN\Analytics\NordVPN.db","NordVPN.db",".db","60","8/5/2025 04:35:05","4/12/2026 19:12:46","4/12/2026 19:12:46","C:\ProgramData\NordVPN\Analytics","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\Network\Cookies-journal","Cookies-journal","","0","8/6/2025 22:05:35","4/12/2026 19:12:33","4/12/2026 19:12:33","C:\Users\Nebula\AppData\Roaming\Claude\Network","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\Network\Cookies","Cookies","","36","8/6/2025 22:05:35","4/12/2026 19:12:33","4/12/2026 19:12:33","C:\Users\Nebula\AppData\Roaming\Claude\Network","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\sentry\session.json","session.json",".json","0.26","4/9/2026 18:21:07","4/12/2026 19:12:29","4/12/2026 19:12:29","C:\Users\Nebula\AppData\Roaming\Claude\sentry","False","0"
"C:\Users\Nebula\AppData\Roaming\Grammarly\DesktopIntegrations\ButtonPositions.json","ButtonPositions.json",".json","13.56","10/14/2025 13:19:29","4/12/2026 19:11:41","4/12/2026 19:11:41","C:\Users\Nebula\AppData\Roaming\Grammarly\DesktopIntegrations","False","0"
"C:\Users\Nebula\AppData\Roaming\obsidian\WebStorage\QuotaManager-journal","QuotaManager-journal","","0","8/12/2025 04:16:26","4/12/2026 19:09:58","4/12/2026 19:09:58","C:\Users\Nebula\AppData\Roaming\obsidian\WebStorage","False","0"
"C:\Users\Nebula\AppData\Roaming\obsidian\WebStorage\QuotaManager","QuotaManager","","40","8/12/2025 04:16:26","4/12/2026 19:09:58","4/12/2026 19:09:58","C:\Users\Nebula\AppData\Roaming\obsidian\WebStorage","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\.claude\settings.local.json","settings.local.json",".json","0.07","4/12/2026 19:09:06","4/12/2026 19:09:06","4/12/2026 19:09:06","C:\Users\Nebula\Desktop\Sec-Projects\.claude","False","0"
"C:\ProgramData\NordVPN\connections\vpn_state_heartbeat.db","vpn_state_heartbeat.db",".db","80","3/27/2026 21:33:09","4/12/2026 19:09:02","4/12/2026 19:09:02","C:\ProgramData\NordVPN\connections","False","0"
"C:\Users\Nebula\AppData\Roaming\obsidian\Network\TransportSecurity","TransportSecurity","","2.14","8/12/2025 04:16:36","4/12/2026 19:08:54","4/12/2026 19:08:54","C:\Users\Nebula\AppData\Roaming\obsidian\Network","False","0"
"C:\Users\Nebula\AppData\Roaming\VMware\inventory.vmls","inventory.vmls",".vmls","18.77","4/12/2026 19:06:31","4/12/2026 19:06:31","4/12/2026 19:06:31","C:\Users\Nebula\AppData\Roaming\VMware","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\Windows 11x01.vmx","Windows 11x01.vmx",".vmx","11.43","4/12/2026 19:06:27","4/12/2026 19:06:29","4/12/2026 19:06:29","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\vmware.log","vmware.log",".log","363.57","1/20/2026 17:08:14","4/12/2026 19:06:29","4/12/2026 19:06:29","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\Windows 11x01.scoreboard","Windows 11x01.scoreboard",".scoreboard","7.52","1/20/2026 17:08:14","4/12/2026 19:06:28","4/12/2026 19:06:28","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
"C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01\Windows 11x01-000002.vmdk","Windows 11x01-000002.vmdk",".vmdk","11895296","3/23/2026 11:31:38","4/12/2026 19:06:28","4/12/2026 19:06:28","C:\Users\Nebula\Documents\Virtual Machines\Windows 11x01","False","0"
