"DisplayName","Direction","Action","Profile","Description"
"Wi-Fi Direct Spooler Use (Out)","Outbound","Allow","Public","Outbound rule to use WSD printers on Wi-Fi Direct networks."
"Network Discovery (SSDP-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow use of the Simple Service Discovery Protocol. [UDP 1900]"
"Network Discovery (WSD Events-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]"
"Wi-Fi Direct Spooler Use (In)","Inbound","Allow","Public","Inbound rule to use WSD printers on Wi-Fi Direct networks."
"Remote Assistance (TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance traffic. [TCP]"
"Core Networking - Packet Too Big (ICMPv6-Out)","Outbound","Allow","Any","Packet Too Big error messages are sent from any node that a packet traverses which is unable to forward the packet because the packet is too large for the next link."
"Connected Devices Platform (UDP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Connected Devices Platform traffic [UDP]"
"Core Networking - IPv6 (IPv6-In)","Inbound","Allow","Any","Inbound rule required to permit IPv6 traffic for ISATAP (Intra-Site Automatic Tunnel Addressing Protocol) and 6to4 tunneling services."
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)","Outbound","Allow","Public","Outbound rule to use Wi-Fi Direct traffic in the Connected Devices Platform  [TCP]"
"mDNS (UDP-Out)","Outbound","Allow","Domain","Outbound rule for mDNS traffic [UDP]"
"Delivery Optimization (UDP-In)","Inbound","Allow","Any","Inbound rule to allow Delivery Optimization to connect to remote endpoints"
"Core Networking - Parameter Problem (ICMPv6-Out)","Outbound","Allow","Any","Parameter Problem error messages are sent by nodes as a result of incorrectly generated packets."
"Core Networking - Router Advertisement (ICMPv6-In)","Inbound","Allow","Any","Router Advertisement messages are sent by routers to other nodes for stateless auto-configuration."
"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","Inbound","Allow","Any","Destination Unreachable Fragmentation Needed error messages are sent from any node that a packet traverses which is unable to forward the packet because fragmentation was needed and the don't fragment bit was set."
"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","Inbound","Allow","Any","Allows DHCP (Dynamic Host Configuration Protocol) messages for stateful auto-configuration."
"Network Discovery (WSD-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to discover devices via Device Association Framework. [UDP 3702]"
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","Inbound","Allow","Any","Allows DHCPV6 (Dynamic Host Configuration Protocol for IPv6) messages for stateful and stateless configuration."
"Connected Devices Platform (TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Connected Devices Platform traffic [TCP]"
"Wi-Fi Direct Scan Service Use (In)","Inbound","Allow","Public","Inbound rule to use WSD scanners on Wi-Fi Direct networks."
"Network Discovery (WSD-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]"
"Core Networking - Router Solicitation (ICMPv6-Out)","Outbound","Allow","Any","Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration."
"Remote Assistance (SSDP UDP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance to allow use of the Simple Service Discovery Protocol. [UDP 1900]"
"Remote Assistance (SSDP TCP-Out)","Outbound","Allow","Domain, Private","Outbound rule for Remote Assistance to allow use of Universal Plug and Play. [TCP]"
"Network Discovery (WSD Events-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]"
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","Inbound","Allow","Any","Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node."
"Remote Assistance (DCOM-In)","Inbound","Allow","Domain","Inbound rule for Remote Assistance to allow offers for assistance via DCOM. [TCP 135]"
"Network Discovery (UPnP-Out)","Outbound","Allow","Private","Outbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP]"
"Network Discovery (WSD EventsSecure-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow Secure WSDAPI Events via Function Discovery. [TCP 5358]"
"Remote Assistance (RA Server TCP-In)","Inbound","Allow","Domain","Inbound rule for Remote Assistance to allow offers for assistance. [TCP]"
"Network Discovery (UPnP-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to allow use of Universal Plug and Play. [TCP 2869]"
"Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","Outbound","Allow","Any","Multicast Listener Report v2 message is used by a listening node to either immediately report its interest in receiving multicast traffic at a specific multicast address or in response to a Multicast Listener Query."
"Microsoft Media Foundation Network Source IN [UDP 5004-5009]","Inbound","Allow","Any","InBound Rule for the Microsoft Media Foundation's Capture SVC to open UDP port to enable RTSP"
"Windows Device Management Enrollment Service (TCP out)","Outbound","Allow","Any","Allow outbound TCP traffic from Windows Device Management Enrollment Service"
"mDNS (UDP-Out)","Outbound","Allow","Public","Outbound rule for mDNS traffic [UDP]"
"Delivery Optimization (TCP-In)","Inbound","Allow","Any","Inbound rule to allow Delivery Optimization to connect to remote endpoints"
"Core Networking - Multicast Listener Done (ICMPv6-Out)","Outbound","Allow","Any","Multicast Listener Done messages inform local routers that there are no longer any members remaining for a specific multicast address on the subnet."
"Windows Device Management Certificate Installer (TCP out)","Outbound","Allow","Any","Allow outbound TCP traffic from Windows Device Management Certificate Installer"
"Core Networking - Teredo (UDP-Out)","Outbound","Allow","Any","Outbound UDP rule to allow Teredo edge traversal, a technology that provides address assignment and automatic tunneling for unicast IPv6 traffic when an IPv6/IPv4 host is located behind an IPv4 network address translator."
"Core Networking - Router Solicitation (ICMPv6-In)","Inbound","Allow","Any","Router Solicitation messages are sent by nodes seeking routers to provide stateless auto-configuration."
"Wireless Display Infrastructure Back Channel (TCP-In)","Inbound","Allow","Any","Inbound rule for Wireless Display Infrastructure back channel [TCP]"
"Network Discovery (Pub-WSD-In)","Inbound","Allow","Private","Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]"
"Core Networking - Group Policy (LSASS-Out)","Outbound","Allow","Domain","Outbound rule to allow remote LSASS traffic for Group Policy updates [TCP]."
"Recommended Troubleshooting Client (HTTP/HTTPS Out)","Outbound","Allow","Any","Allow outbound HTTP/HTTPS traffic from Recommended Troubleshooting Client"
"Remote Assistance (PNRP-In)","Inbound","Allow","Domain, Private","Inbound rule for Remote Assistance to allow use Peer Name Resolution Protocol. [UDP 3540]"
