"Name","InterfaceDescription","Status","MacAddress","LinkSpeed"
"NordLynx","NordLynx Tunnel","Up",,"100 Gbps"
"Wi-Fi 2","Qualcomm FastConnect 7800 Wi-Fi 7 High Band Simultaneous (HBS) Network Adapter","Not Present",,"0 bps"
"Ethernet 2","VirtualBox Host-Only Ethernet Adapter","Up","0A-00-27-00-00-18","1 Gbps"
"Ethernet","Realtek PCIe 5GbE Family Controller","Up","34-5A-60-B6-5D-2E","1 Gbps"
"Wi-Fi","Qualcomm FastConnect 7800 Wi-Fi 7 High Band Simultaneous (HBS) Network Adapter","Disconnected","AC-F2-3C-21-EB-89","0 bps"
"VMware Network Adapter VMnet1","VMware Virtual Ethernet Adapter for VMnet1","Up","00-50-56-C0-00-01","100 Mbps"
"VMware Network Adapter VMnet8","VMware Virtual Ethernet Adapter for VMnet8","Up","00-50-56-C0-00-08","100 Mbps"
"OpenVPN Data Channel Offload for NordVPN","OpenVPN Data Channel Offload","Disconnected",,"1 Gbps"
"Local Area Connection","TAP-NordVPN Windows Adapter V9","Disconnected","00-FF-43-6B-E1-D7","1 Gbps"
"Bluetooth Network Connection","Bluetooth Device (Personal Area Network)","Disconnected","AC-F2-3C-21-EB-8A","3 Mbps"
"Wi-Fi 3","Qualcomm FastConnect 7800 Wi-Fi 7 High Band Simultaneous (HBS) Network Adapter","Disconnected","CE-F2-3C-21-EB-89","0 bps"
