"PID","PPID","Name","Path","CommandLine","Owner","SHA256","CreationDate","WorkingSetMB","ThreadCount","HandleCount","Flags"
"0","0","System Idle Process",,,"N/A","NO_PATH","4/12/2026 12:33:31","0.01","96","0",""
"4","0","System",,,"N/A","NO_PATH","4/12/2026 12:33:31","5.91","667","9284",""
"428","4","Secure System",,,"N/A","NO_PATH","4/12/2026 12:33:28","224.38","0","0",""
"472","4","Registry",,,"N/A","NO_PATH","4/12/2026 12:33:28","51.32","4","0",""
"1112","4","smss.exe",,,"N/A","NO_PATH","4/12/2026 12:33:31","1.45","2","58",""
"1720","1408","csrss.exe",,,"N/A","NO_PATH","4/12/2026 12:33:40","5.76","23","981",""
"1912","1408","wininit.exe",,,"N/A","NO_PATH","4/12/2026 12:33:42","8.07","2","165",""
"1920","1904","csrss.exe",,,"N/A","NO_PATH","4/12/2026 12:33:42","7.11","18","1274",""
"1996","1912","services.exe",,,"N/A","NO_PATH","4/12/2026 12:33:42","13.24","10","867",""
"2016","1912","LsaIso.exe",,,"N/A","NO_PATH","4/12/2026 12:33:42","3.56","1","61",""
"2044","1904","winlogon.exe",,,"N/A","NO_PATH","4/12/2026 12:33:42","14.66","3","288",""
"1284","1912","lsass.exe",,,"N/A","NO_PATH","4/12/2026 12:33:42","32.57","14","2369",""
"2096","1996","svchost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","36.86","16","1505",""
"2128","1996","WUDFHost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","9.96","8","259",""
"2148","2044","fontdrvhost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","8.28","5","43",""
"2152","1912","fontdrvhost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","5.09","5","43",""
"2260","1996","svchost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","23.77","12","1836",""
"2308","1996","svchost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","14.79","5","449",""
"2372","2044","dwm.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","136.95","188","3107",""
"2512","1996","svchost.exe",,,"N/A","NO_PATH","4/12/2026 12:33:43","6.67","3","109",""
