"IPAddress","LinkLayerAddress","State","InterfaceAlias"
"ff05::c","33-33-00-00-00-0C","Permanent","VMware Network Adapter VMnet8"
"ff02::1:ffeb:24d6","33-33-FF-EB-24-D6","Permanent","VMware Network Adapter VMnet8"
"ff02::1:3","33-33-00-01-00-03","Permanent","VMware Network Adapter VMnet8"
"ff02::1:2","33-33-00-01-00-02","Permanent","VMware Network Adapter VMnet8"
"ff02::fb","33-33-00-00-00-FB","Permanent","VMware Network Adapter VMnet8"
"ff02::16","33-33-00-00-00-16","Permanent","VMware Network Adapter VMnet8"
"ff02::2","33-33-00-00-00-02","Permanent","VMware Network Adapter VMnet8"
"ff02::1","33-33-00-00-00-01","Permanent","VMware Network Adapter VMnet8"
"fe80::10a7:73de:793c:2a35","00-00-00-00-00-00","Unreachable","VMware Network Adapter VMnet8"
"ff05::c","33-33-00-00-00-0C","Permanent","VMware Network Adapter VMnet1"
"ff02::1:ff9a:f79f","33-33-FF-9A-F7-9F","Permanent","VMware Network Adapter VMnet1"
"ff02::1:3","33-33-00-01-00-03","Permanent","VMware Network Adapter VMnet1"
"ff02::1:2","33-33-00-01-00-02","Permanent","VMware Network Adapter VMnet1"
"ff02::fb","33-33-00-00-00-FB","Permanent","VMware Network Adapter VMnet1"
"ff02::16","33-33-00-00-00-16","Permanent","VMware Network Adapter VMnet1"
"ff02::2","33-33-00-00-00-02","Permanent","VMware Network Adapter VMnet1"
"ff02::1","33-33-00-00-00-01","Permanent","VMware Network Adapter VMnet1"
"fe80::10a7:73de:793c:2a35","00-00-00-00-00-00","Unreachable","VMware Network Adapter VMnet1"
"ff15::efc0:988f","33-33-EF-C0-98-8F","Permanent","Ethernet 2"
"ff05::c","33-33-00-00-00-0C","Permanent","Ethernet 2"
"ff02::1:ff2a:30aa","33-33-FF-2A-30-AA","Permanent","Ethernet 2"
"ff02::1:3","33-33-00-01-00-03","Permanent","Ethernet 2"
"ff02::1:2","33-33-00-01-00-02","Permanent","Ethernet 2"
"ff02::fb","33-33-00-00-00-FB","Permanent","Ethernet 2"
"ff02::16","33-33-00-00-00-16","Permanent","Ethernet 2"
"ff02::c","33-33-00-00-00-0C","Permanent","Ethernet 2"
"ff02::2","33-33-00-00-00-02","Permanent","Ethernet 2"
"ff02::1","33-33-00-00-00-01","Permanent","Ethernet 2"
"fe80::10a7:73de:793c:2a35","00-00-00-00-00-00","Unreachable","Ethernet 2"
"ff05::c","33-33-00-00-00-0C","Permanent","Wi-Fi 5"
"ff02::1:2","33-33-00-01-00-02","Permanent","Wi-Fi 5"
"ff02::16","33-33-00-00-00-16","Permanent","Wi-Fi 5"
"fe80::10a7:73de:793c:2a35","00-00-00-00-00-00","Unreachable","Wi-Fi 5"
"ff05::c","33-33-00-00-00-0C","Permanent","Wi-Fi 4"
"ff02::1:2","33-33-00-01-00-02","Permanent","Wi-Fi 4"
"ff02::16","33-33-00-00-00-16","Permanent","Wi-Fi 4"
"fe80::10a7:73de:793c:2a35","00-00-00-00-00-00","Unreachable","Wi-Fi 4"
"ff05::c","33-33-00-00-00-0C","Permanent","Wi-Fi 3"
"ff02::1:2","33-33-00-01-00-02","Permanent","Wi-Fi 3"
"ff02::16","33-33-00-00-00-16","Permanent","Wi-Fi 3"
"fe80::10a7:73de:793c:2a35","00-00-00-00-00-00","Unreachable","Wi-Fi 3"
"ff15::efc0:988f","","Permanent","OpenVPN Data Channel Offload for NordVPN"
"ff05::c","","Permanent","OpenVPN Data Channel Offload for NordVPN"
"ff02::1:2","","Permanent","OpenVPN Data Channel Offload for NordVPN"
