"Entry","RecordName","RecordType","Status","Data","TimeToLive"
"setup.icloud.com",,,"0","setup.fe2.apple-dns.net","77"
"setup.icloud.com",,,"0","17.248.201.74","77"
"setup.icloud.com",,,"0","17.248.201.27","77"
"setup.icloud.com",,,"0","17.248.201.64","77"
"setup.icloud.com",,,"0","17.248.201.19","77"
"setup.icloud.com",,,"0","17.248.201.73","77"
"setup.icloud.com",,,"0","17.248.201.70","77"
"setup.icloud.com",,,"0","setup.fe2.apple-dns.net","17"
"setup.icloud.com",,,"0","2620:149:a41:580:16::1","17"
"setup.icloud.com",,,"0","2620:149:a41:580::2:6","17"
"setup.icloud.com",,,"0","2620:149:a41:580::2:9","17"
"setup.icloud.com",,,"0","2620:149:a41:580::2:4","17"
"setup.icloud.com",,,"0","2620:149:a41:580:e::1","17"
"array611.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.106","2479"
"http-intake.logs.us5.datadoghq.com",,,"0","34.149.66.137","106"
"pypi.org",,,"0","2a04:4e42:200::223","76333"
"pypi.org",,,"0","2a04:4e42::223","76333"
"pypi.org",,,"0","2a04:4e42:400::223","76333"
"pypi.org",,,"0","2a04:4e42:600::223","76333"
"pypi.org",,,"0","151.101.0.223","73545"
"pypi.org",,,"0","151.101.64.223","73545"
"pypi.org",,,"0","151.101.128.223","73545"
"pypi.org",,,"0","151.101.192.223","73545"
"array612.prod.do.dsp.mp.microsoft.com",,,"0","72.145.35.107","618"
