"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","PID","ProcessName","ProcessPath","CreationTime"
"::","65526","::","0","Bound","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"::","65523","::","0","Bound","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"::","65190","::","0","Bound","25900","SteelSeriesSonar","C:\Program Files\SteelSeries\GG\apps\sonar\SteelSeriesSonar.exe","4/12/2026 12:34:07"
"::","64989","::","0","Bound","12868","MSI.CentralServer",,"4/12/2026 12:34:02"
"::","64897","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:42"
"::","63676","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:39:39"
"::","62504","::","0","Bound","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:22"
"::","62491","::","0","Bound","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:21"
"::","61766","::","0","Bound","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:17:47"
"::","61670","::","0","Bound","25900","SteelSeriesSonar","C:\Program Files\SteelSeries\GG\apps\sonar\SteelSeriesSonar.exe","4/12/2026 19:24:45"
"::","59700","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:15:29"
"::","58293","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58292","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58291","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58290","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58289","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58288","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58287","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58286","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58285","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58284","::","0","Bound","5360","nordvpn-service",,"4/12/2026 19:25:08"
"::","58265","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:24:55"
"::","56271","::","0","Bound","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:25:42"
"::","54920","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:54:41"
"::","54554","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:24:54"
"::","53454","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:19:55"
"::","52677","::","0","Bound","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 19:25:19"
"::","50732","::","0","Bound","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:25:42"
"::","50598","::","0","Bound","39796","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:40"
"::","50541","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:17:59"
"::","50040","::","0","Bound","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:17:37"
"::","49809","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 13:52:54"
"::","49172","::","0","Bound","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:22:16"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","65526","2620:149:a41:580:e::1","443","CloseWait","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","65523","2620:149:a41:580:e::1","443","CloseWait","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","64897","2600:1901:1:510::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:42"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","63676","2600:1901:1:7c5::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:39:39"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","62504","2606:4700:7::a5","443","CloseWait","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:22"
"::1","62491","::1","62490","Established","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:21"
"::1","62490","::1","62491","Established","46936","vmware","C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe","4/12/2026 18:03:21"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","61766","2607:6bc0::10","443","Established","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:17:47"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","60999","2607:6bc0::10","443","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","59700","2600:1901:1:7c5::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:15:29"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","58265","2600:1403:d400:304::17c0:24bb","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:24:55"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","56271","2600:9000:2505:ae00:f:3d79:f100:93a1","443","Established","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:25:42"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","54920","2600:1901:1:365::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 18:54:41"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","54554","2600:1901:1:365::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:24:54"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","53723","2600:9000:2504:e00:15:85fe:56c0:93a1","443","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","53454","2600:1901:1:7c5::","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:19:55"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","52677","2620:149:a41:580:16::1","443","Established","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 19:25:19"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","50732","2600:1f18:2e6a:f800:65f8:7626:4035:7d9d","443","Established","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:25:42"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","50598","2600:1901:1:510::","443","Established","39796","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:40"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","50541","2a04:4e42:8f::760","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:17:59"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","50040","2607:6bc0::10","443","Established","49804","claude","C:\Users\Nebula\.local\bin\claude.exe","4/12/2026 19:17:37"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","49939","2600:1901:1:365::","443","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","49809","2607:f8b0:400c:c11::bc","5228","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 13:52:54"
"::","49703","::","0","Listen","1996","services",,"4/12/2026 12:33:45"
"::","49668","::","0","Listen","5288","spoolsv",,"4/12/2026 12:33:43"
"::","49667","::","0","Listen","3796","svchost",,"4/12/2026 12:33:43"
"::","49666","::","0","Listen","2908","svchost",,"4/12/2026 12:33:43"
"::","49665","::","0","Listen","1912","wininit",,"4/12/2026 12:33:43"
"::","49664","::","0","Listen","1284","lsass",,"4/12/2026 12:33:43"
"2603:9000:a000:346b:ecb2:86f5:dca6:f4ce","49172","2606:4700:7::175","443","Established","40052","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 19:22:16"
"::","7680","::","0","Listen","4840","svchost",,"4/12/2026 12:34:15"
"::","1462","::","0","Listen","4","System",,"4/12/2026 12:33:44"
"::","445","::","0","Listen","4","System",,"4/12/2026 12:33:44"
"::","135","::","0","Listen","2260","svchost",,"4/12/2026 12:33:43"
"0.0.0.0","65534","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 12:34:34"
"0.0.0.0","65533","0.0.0.0","0","Bound","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 12:34:34"
"0.0.0.0","65531","0.0.0.0","0","Bound","36780","iCloudCKKS","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudCKKS.exe","4/12/2026 12:34:34"
"0.0.0.0","65529","0.0.0.0","0","Bound","36332","iCloudHome","C:\Program Files\WindowsApps\AppleInc.iCloud_15.7.56.0_x64__nzyj5cx40ttqa\iCloud\iCloudHome.exe","4/12/2026 12:34:33"
"0.0.0.0","65520","0.0.0.0","0","Bound","35992","Grammarly.Desktop","C:\Users\Nebula\AppData\Local\Grammarly\DesktopIntegrations\Grammarly.Desktop.exe","4/12/2026 12:34:32"
"0.0.0.0","65209","0.0.0.0","0","Bound","26216","SteelSeriesGG",,"4/12/2026 12:34:08"
"0.0.0.0","65208","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:08"
"0.0.0.0","65207","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:08"
"0.0.0.0","65201","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65200","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65199","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65198","0.0.0.0","0","Bound","27560","SteelSeriesPrism","C:\Program Files\SteelSeries\GG\apps\engine\prism\SteelSeriesPrism.exe","4/12/2026 12:34:08"
"0.0.0.0","65016","0.0.0.0","0","Bound","25876","SteelSeriesEngine","C:\Program Files\SteelSeries\GG\apps\engine\SteelSeriesEngine.exe","4/12/2026 12:34:05"
