"Category","Location","Name","Value","ATTACKRef"
"Registry Run Key","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SecurityHealth","C:\WINDOWS\system32\SecurityHealthSystray.exe","T1547.001"
"Registry Run Key","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","RtkAudUService","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_31dd95d009763f70\RtkAudUService64.exe"" -background","T1547.001"
"Registry Run Key","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SteelSeriesGG","""C:\Program Files\SteelSeries\GG\SteelSeriesGG.exe"" -dataPath=""C:\ProgramData\SteelSeries\GG"" -dbEnv=production -auto=true","T1547.001"
"Registry Run Key","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Seagate Scheduler2 Service","""C:\Program Files (x86)\Common Files\Seagate\Schedule2\schedhlp.exe""","T1547.001"
"Registry Run Key","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Logitech Download Assistant","C:\Windows\system32\rundll32.exe C:\Windows\System32\LogiLDA.dll,LogiFetch","T1547.001"
"Registry Run Key","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","OneDrive","""C:\Users\Nebula\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","T1547.001"
"Registry Run Key","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Steam","""C:\Program Files (x86)\Steam\steam.exe"" -silent","T1547.001"
"Registry Run Key","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Discord","""C:\Users\Nebula\AppData\Local\Discord\Update.exe"" --processStart Discord.exe","T1547.001"
"Registry Run Key","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Toolkit","C:\Program Files (x86)\Toolkit\Toolkit.exe /WinStart","T1547.001"
"Registry Run Key","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NordVPN","""C:\Program Files\NordVPN\NordVPN.exe"" --auto-start","T1547.001"
"Registry Run Key","HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Claude","""C:\Users\Nebula\AppData\Local\AnthropicClaude\claude.exe"" --startup","T1547.001"
