"Name","Value"
"ALLUSERSPROFILE","C:\ProgramData"
"AMDRMPATH","C:\Program Files\AMD\RyzenMaster\"
"AMDRMSDKPATH","C:\Program Files\AMD\RyzenMasterSDK\"
"APPDATA","C:\Users\Nebula\AppData\Roaming"
"CommonProgramFiles","C:\Program Files\Common Files"
"CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"CommonProgramW6432","C:\Program Files\Common Files"
"COMPUTERNAME","NEBULA"
"ComSpec","C:\WINDOWS\system32\cmd.exe"
"CUDA_PATH","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.0"
"CUDA_PATH_V12_9","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.9"
"CUDA_PATH_V13_0","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.0"
"DriverData","C:\Windows\System32\Drivers\DriverData"
"HOMEDRIVE","C:"
"HOMEPATH","\Users\Nebula"
"LOCALAPPDATA","C:\Users\Nebula\AppData\Local"
"LOGONSERVER","\\NEBULA"
"NUMBER_OF_PROCESSORS","32"
"OneDrive","C:\Users\Nebula\OneDrive"
"OneDriveConsumer","C:\Users\Nebula\OneDrive"
"OS","Windows_NT"
"Path","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.0\bin\x64;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.0\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.9\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.9\libnvvp;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\NVIDIA Corporation\NVIDIA App\NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\dotnet\;C:\Program Files (x86)\Common Files\Acronis\SnapAPI\;C:\Program Files (x86)\Common Files\Acronis\VirtualFile\;C:\Program Files (x86)\Common Files\Acronis\VirtualFile64\;C:\Program Files\PuTTY\;C:\Program Files\NVIDIA Corporation\Nsight Compute 2025.3.0\;C:\Program Files\wooting-analog-sdk\;C:\Program Files\Git\cmd;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.0\bin\x64;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v13.0\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.9\bin;C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.9\libnvvp;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\NVIDIA Corporation\NVIDIA App\NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\dotnet\;C:\Program Files (x86)\Common Files\Acronis\SnapAPI\;C:\Program Files (x86)\Common Files\Acronis\VirtualFile\;C:\Program Files (x86)\Common Files\Acronis\VirtualFile64\;C:\Program Files\PuTTY\;C:\Program Files\NVIDIA Corporation\Nsight Compute 2025.3.0\;C:\Program Files\wooting-analog-sdk\;C:\Program Files\Git\cmd;C:\Users\Nebula\AppData\Local\Programs\Python\Python312\Scripts\;C:\Users\Nebula\AppData\Local\Programs\Python\Python312\;C:\Users\Nebula\AppData\Local\Programs\Python\Python314\Scripts\;C:\Users\Nebula\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\Nebula\AppData\Local\Python\bin;C:\Users\Nebula\AppData\Local\GitHubDesktop\bin;C:\Users\Nebula\.local\bin"
"PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL"
"PROCESSOR_ARCHITECTURE","AMD64"
"PROCESSOR_IDENTIFIER","AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD"
"PROCESSOR_LEVEL","26"
"PROCESSOR_REVISION","4400"
"ProgramData","C:\ProgramData"
"ProgramFiles","C:\Program Files"
"ProgramFiles(x86)","C:\Program Files (x86)"
"ProgramW6432","C:\Program Files"
"PSExecutionPolicyPreference","Bypass"
"PSModulePath","C:\Users\Nebula\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules"
"PUBLIC","C:\Users\Public"
"SESSIONNAME","Console"
"SystemDrive","C:"
"SystemRoot","C:\WINDOWS"
"TEMP","C:\Users\Nebula\AppData\Local\Temp"
"TMP","C:\Users\Nebula\AppData\Local\Temp"
"USERDOMAIN","NEBULA"
"USERDOMAIN_ROAMINGPROFILE","NEBULA"
"USERNAME","Nebula"
"USERPROFILE","C:\Users\Nebula"
"VBOX_MSI_INSTALL_PATH","C:\Program Files\Oracle\VirtualBox\"
"windir","C:\WINDOWS"
"WSLENV","WT_SESSION:WT_PROFILE_ID:"
"WT_PROFILE_ID","{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"
"WT_SESSION","a72d2c0a-3168-4bed-b611-52e139de5cec"
