"Name","DisplayName","PathName","State","StartMode","Description"
"1394ohci","1394 OHCI Compliant Host Controller","C:\WINDOWS\system32\drivers\1394ohci.sys","Stopped","Manual","1394 OHCI Compliant Host Controller"
"3ware","3ware","C:\WINDOWS\system32\drivers\3ware.sys","Stopped","Manual","3ware"
"ACPI","Microsoft ACPI Driver","C:\WINDOWS\system32\drivers\ACPI.sys","Running","Boot","Microsoft ACPI Driver"
"AcpiAudioCompositorInbox","ACPI Audio Compositor Driver","C:\WINDOWS\system32\DriverStore\FileRepository\acpiaudiocompositor.inf_amd64_047f553a6f70b169\AcpiAudioCompositor.sys","Stopped","Manual","ACPI Audio Compositor Driver"
"AcpiDev","ACPI Devices driver","C:\WINDOWS\system32\drivers\AcpiDev.sys","Stopped","Manual","ACPI Devices driver"
"acpiex","Microsoft ACPIEx Driver","C:\WINDOWS\system32\Drivers\acpiex.sys","Running","Boot","Microsoft ACPIEx Driver"
"acpipagr","ACPI Processor Aggregator Driver","C:\WINDOWS\system32\DriverStore\FileRepository\acpipagr.inf_amd64_d1093347a27ff89c\acpipagr.sys","Stopped","Manual","ACPI Processor Aggregator Driver"
"AcpiPmi","ACPI Power Meter Driver","C:\WINDOWS\system32\DriverStore\FileRepository\acpipmi.inf_amd64_3ced06eb61dcc792\acpipmi.sys","Stopped","Manual","ACPI Power Meter Driver"
"acpitime","ACPI Wake Alarm Driver","C:\WINDOWS\system32\drivers\acpitime.sys","Stopped","Manual","ACPI Wake Alarm Driver"
"Acx01000","Acx01000","C:\WINDOWS\system32\drivers\Acx01000.sys","Stopped","Manual","Acx01000"
"ADP80XX","ADP80XX","C:\WINDOWS\system32\drivers\ADP80XX.SYS","Stopped","Manual","ADP80XX"
"AFD","Ancillary Function Driver for Winsock","C:\WINDOWS\system32\drivers\afd.sys","Running","System","Ancillary Function Driver for Winsock"
"afunix","afunix","C:\WINDOWS\system32\drivers\afunix.sys","Running","System","afunix"
"ahcache","Application Compatibility Cache","C:\WINDOWS\system32\DRIVERS\ahcache.sys","Running","System","Application Compatibility Cache"
"AmdAppCompat","AMD Application Compatibility Database","C:\WINDOWS\system32\DriverStore\FileRepository\amdappcompat.inf_amd64_0cfc8ba812cdbaa8\AmdAppCompat.sys","Running","Manual","AMD Application Compatibility Database"
"amdfendr","AMD Crash Defender Driver","C:\WINDOWS\system32\DriverStore\FileRepository\amdfendr.inf_amd64_9bbf7ce85091da4a\amdfendr.sys","Running","Manual","AMD Crash Defender Driver"
"amdfendrmgr","AMD Crash Defender Manager Driver","C:\WINDOWS\system32\DriverStore\FileRepository\amdfendr.inf_amd64_9bbf7ce85091da4a\amdfendrmgr.sys","Running","Manual","AMD Crash Defender Manager Driver"
"amdgpio2","AMD GPIO Client Driver","C:\WINDOWS\system32\drivers\amdgpio2.sys","Running","Manual","AMD GPIO Client Driver"
"amdgpio3","AMD GPIO Client Driver","C:\WINDOWS\system32\drivers\amdgpio3.sys","Running","Manual","AMD GPIO Client Driver"
"amdi2c","AMD I2C Controller Service","C:\WINDOWS\system32\drivers\amdi2c.sys","Running","Manual","AMD I2C Controller Service"
"AmdK8","AMD K8 Processor Driver","C:\WINDOWS\system32\drivers\amdk8.sys","Stopped","Manual","AMD K8 Processor Driver"
"AMDPCIDev","AMD PCI","C:\WINDOWS\system32\drivers\AMDPCIDev.sys","Stopped","Manual","AMD PCI"
"AmdPpkg","AMD Provisioning Packages","C:\WINDOWS\system32\DriverStore\FileRepository\amdppkg.inf_amd64_2e5ec3779d1804d1\AmdPpkg.sys","Running","Manual","AMD Provisioning Packages"
"AmdPPM","AMD Processor Driver","C:\WINDOWS\system32\drivers\amdppm.sys","Running","Manual","AMD Processor Driver"
"amdpsp","AMD PSP Service","C:\WINDOWS\system32\drivers\amdpsp.sys","Running","Boot","AMD PSP Service"
